Name,Label_Full,1 - Supra/Infra Tentorial,Label_1,2 - CSF/Cortex/BasalGanglia/WM,Label_2,3- L/R,Label_3,34-Lobes,Label_34,4- Lobes,Label_4,5- Sub-Lobes,Label_5,6 - All
Right MPrG precentral gyrus medial segment,151,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,18,Motor,99
Left MPrG precentral gyrus medial segment,152,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,37,Motor,100
Right MSFG superior frontal gyrus medial segment,153,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,17,Vmpfc,101
Left MSFG superior frontal gyrus medial segment,154,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,36,Vmpfc,102
Right MTG middle temporal gyrus,155,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,21,Lateral Temp,103
Left MTG middle temporal gyrus,156,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,40,Lateral Temp,104
Right OCP occipital pole,157,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,28,Lateral Occ,105
Left OCP occipital pole,158,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,47,Lateral Occ,106
Right OFuG occipital fusiform gyrus,161,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,27,Medial Occ,107
Left OFuG occipital fusiform gyrus,162,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,46,Medial Occ,108
Right OpIFG opercular part of the inferior frontal gyrus,163,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,16,Dlpfc,109
Left OpIFG opercular part of the inferior frontal gyrus,164,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,35,Dlpfc,110
Right OrIFG orbital part of the inferior frontal gyrus,165,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,16,Dlpfc,111
Left OrIFG orbital part of the inferior frontal gyrus,166,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,35,Dlpfc,112
Right PCgG posterior cingulate gyrus,167,1,Supra Tentorial,4,Cortex,5,Cortex Right,15,Cingulate,19,Right Cingulate,31,Posterior,113
Left PCgG posterior cingulate gyrus,168,1,Supra Tentorial,4,Cortex,6,Cortex Left,15,Cingulate,25,Left Cingulate,50,Posterior,114
Right PCu precuneus,169,1,Supra Tentorial,4,Cortex,5,Cortex Right,19,Parietal Lobe,17,Right Parietal Lobe,24,Medial Par,115
Left PCu precuneus,170,1,Supra Tentorial,4,Cortex,6,Cortex Left,19,Parietal Lobe,23,Left Parietal Lobe,43,Medial Par,116
Right PHG parahippocampal gyrus,171,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,20,Medial Temp,117
Left PHG parahippocampal gyrus,172,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,39,Medial Temp,118
Right Pins posterior insula,173,1,Supra Tentorial,4,Cortex,5,Cortex Right,17,Insula,20,Right Insula,33,Posterior,119
Left Pins posterior insula,174,1,Supra Tentorial,4,Cortex,6,Cortex Left,17,Insula,26,Left Insula,52,Posterior,120
Right PO parietal operculum,175,1,Supra Tentorial,4,Cortex,5,Cortex Right,19,Parietal Lobe,17,Right Parietal Lobe,25,Lateral Par,121
Left PO parietal operculum,176,1,Supra Tentorial,4,Cortex,6,Cortex Left,19,Parietal Lobe,23,Left Parietal Lobe,44,Lateral Par,122
Right PoG postcentral gyrus,177,1,Supra Tentorial,4,Cortex,5,Cortex Right,19,Parietal Lobe,17,Right Parietal Lobe,26,Sensory,123
Left PoG postcentral gyrus,178,1,Supra Tentorial,4,Cortex,6,Cortex Left,19,Parietal Lobe,23,Left Parietal Lobe,45,Sensory,124
Right POrG posterior orbital gyrus,179,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,15,Orbitofrontal,125
Left POrG posterior orbital gyrus,180,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,34,Orbitofrontal,126
Right PP planum polare,181,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,23,Supratemp,127
Left PP planum polare,182,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,42,Supratemp,128
Right PrG precentral gyrus,183,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,18,Motor,129
Left PrG precentral gyrus,184,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,37,Motor,130
Right PT planum temporale,185,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,23,Supratemp,131
Left PT planum temporale,186,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,42,Supratemp,132
Right SCA subcallosal area,187,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,17,Vmpfc,133
Left SCA subcallosal area,188,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,36,Vmpfc,134
Right SFG superior frontal gyrus,191,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,16,Dlpfc,135
Left SFG superior frontal gyrus,192,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,35,Dlpfc,136
Right SMC supplementary motor cortex,193,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,18,Motor,137
Left SMC supplementary motor cortex,194,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,37,Motor,138
Right SMG supramarginal gyrus,195,1,Supra Tentorial,4,Cortex,5,Cortex Right,19,Parietal Lobe,17,Right Parietal Lobe,25,Lateral Par,139
Left SMG supramarginal gyrus,196,1,Supra Tentorial,4,Cortex,6,Cortex Left,19,Parietal Lobe,23,Left Parietal Lobe,44,Lateral Par,140
Right SOG superior occipital gyrus,197,1,Supra Tentorial,4,Cortex,5,Cortex Right,20,Occipital Lobe,18,Right Occipital Lobe,28,Lateral Occ,141
Left SOG superior occipital gyrus,198,1,Supra Tentorial,4,Cortex,6,Cortex Left,20,Occipital Lobe,24,Left Occipital Lobe,47,Lateral Occ,142
Right SPL superior parietal lobule,199,1,Supra Tentorial,4,Cortex,5,Cortex Right,19,Parietal Lobe,17,Right Parietal Lobe,25,Lateral Par,143
Left SPL superior parietal lobule,200,1,Supra Tentorial,4,Cortex,6,Cortex Left,19,Parietal Lobe,23,Left Parietal Lobe,44,Lateral Par,144
Right STG superior temporal gyrus,201,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,21,Lateral Temp,145
Left STG superior temporal gyrus,202,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,40,Lateral Temp,146
Right TMP temporal pole,203,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,22,Temporal Pole,147
Left TMP temporal pole,204,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,41,Temporal Pole,148
Right TrIFG triangular part of the inferior frontal gyrus,205,1,Supra Tentorial,4,Cortex,5,Cortex Right,18,Frontal Lobe,15,Right Frontal Lobe,16,Dlpfc,149
Left TrIFG triangular part of the inferior frontal gyrus,206,1,Supra Tentorial,4,Cortex,6,Cortex Left,18,Frontal Lobe,21,Left Frontal Lobe,35,Dlpfc,150
Right TTG transverse temporal gyrus,207,1,Supra Tentorial,4,Cortex,5,Cortex Right,21,Temporal Lobe,16,Right Temporal Lobe,23,Supratemp,151
Left TTG transverse temporal gyrus,208,1,Supra Tentorial,4,Cortex,6,Cortex Left,21,Temporal Lobe,22,Left Temporal Lobe,42,Supratemp,152
